model_version,lob,term,tag,charge_off_month,pay_off_month,total_loss_month
franchise4.0,STG,60,3,22.680158653389437,34.6375005380868,17.3187502690434
franchise4.0,STG,60,4,18.812655815776637,36.28690532561475,18.143452662807373
franchise4.0,STG,60,5,20.87029560732882,37.93631011314269,18.968155056571344
franchise4.0,STG,60,6,22.349215175130738,39.58571490067063,19.792857450335315
franchise4.0,STG,60,7,24.426323411002556,41.23511968819857,20.617559844099286
franchise4.0,STG,60,8,18.778601227222588,42.88452447572652,21.44226223786326
franchise4.0,STG,60,9,20.838930705865923,44.533929263254464,22.266964631627232
franchise4.0,STG,60,10,21.94856837175489,46.1833340507824,23.0916670253912
franchise4.0,STG,60,11,23.649734824439182,47.83273883831034,23.91636941915517
franchise4.0,STG,60,12,16.736490217457316,49.48214362583829,24.741071812919145
franchise4.0,STG,60,13,19.48987689356818,51.13154841336623,25.565774206683116
franchise4.0,STG,60,14,20.502750842314573,52.780953200894174,26.390476600447087
franchise4.0,STG,60,15,23.087021524253036,54.43035798842212,27.21517899421106
franchise4.0,STG,72,0,18.589239226114945,32.38831219145779,16.194156095728896
franchise4.0,STG,72,1,20.893629388227552,34.187662868761,17.0938314343805
franchise4.0,STG,72,2,22.446432909784416,35.98701354606421,17.993506773032106
franchise4.0,STG,72,3,24.741991258243022,37.786364223367414,18.893182111683707
franchise4.0,STG,72,4,20.522897253574513,39.58571490067063,19.792857450335315
franchise4.0,STG,72,5,22.767595207995075,41.38506557797384,20.69253278898692
franchise4.0,STG,72,6,24.380962009233528,43.18441625527705,21.592208127638525
franchise4.0,STG,72,7,26.64689826654824,44.98376693258026,22.49188346629013
franchise4.0,STG,72,8,20.485746793333732,46.783117609883476,23.391558804941738
franchise4.0,STG,72,9,22.733378951853734,48.582468287186686,24.291234143593343
franchise4.0,STG,72,10,23.94389276918715,50.38181896448989,25.190909482244944
franchise4.0,STG,72,11,25.799710717570015,52.1811696417931,26.09058482089655
franchise4.0,STG,72,12,18.257989328135253,53.980520319096314,26.990260159548157
franchise4.0,STG,72,13,21.26168388389256,55.779870996399524,27.889935498199762
franchise4.0,STG,72,14,22.366637282524987,57.57922167370273,28.789610836851367
franchise4.0,STG,72,15,25.185841662821492,59.37857235100594,29.68928617550297
franchise4.0,STE,36,0,16.615220811830227,28.948950101603074,14.474475050801537
franchise4.0,STE,36,1,18.674904423105815,30.557225107247696,15.278612553623848
franchise4.0,STE,36,2,20.062813474908737,32.1655001128923,16.08275005644615
franchise4.0,STE,36,3,22.114603135697955,33.77377511853692,16.88688755926846
franchise4.0,STE,36,4,18.34354087431422,35.38205012418153,17.691025062090766
franchise4.0,STE,36,5,20.349871080456598,36.99032512982615,18.495162564913073
franchise4.0,STE,36,6,21.79191210897778,38.59860013547077,19.299300067735384
franchise4.0,STE,36,7,23.817225291667107,40.20687514111538,20.10343757055769
franchise4.0,STE,36,8,18.310335475607282,41.81515014676,20.90757507338
franchise4.0,STE,36,9,20.31928829843807,43.42342515240462,21.71171257620231
franchise4.0,STE,36,10,21.401255888726045,45.031700158049226,22.515850079024613
franchise4.0,STE,36,11,23.06000182361191,46.63997516369384,23.31998758184692
franchise4.0,STE,36,12,16.319146823439304,48.248250169338455,24.124125084669227
franchise4.0,STE,36,13,19.00387467529719,49.85652517498308,24.92826258749154
franchise4.0,STE,36,14,19.991491461640365,51.46480018062769,25.732400090313845
franchise4.0,STE,36,15,22.511320418734,53.073075186272305,26.536537593136153
franchise4.0,STE,48,0,18.461356457589137,32.1655001128923,16.08275005644615
franchise4.0,STE,48,1,20.749893803450902,33.952472341386326,16.976236170693163
franchise4.0,STE,48,2,22.292014972120814,35.73944456988034,17.86972228494017
franchise4.0,STE,48,3,24.571781261886617,37.52641679837435,18.763208399187175
franchise4.0,STE,48,4,20.38171208257135,39.313389026868364,19.656694513434182
franchise4.0,STE,48,5,22.610967867173997,41.10036125536239,20.550180627681193
franchise4.0,STE,48,6,24.213235676641975,42.8873334838564,21.4436667419282
franchise4.0,STE,48,7,26.463583657407895,44.67430571235042,22.33715285617521
franchise4.0,STE,48,8,20.344817195119198,46.46127794084444,23.23063897042222
franchise4.0,STE,48,9,22.57698699826452,48.24825016933846,24.12412508466923
franchise4.0,STE,48,10,23.779173209695603,50.03522239783247,25.017611198916235
franchise4.0,STE,48,11,25.622224248457673,51.822194626326485,25.911097313163243
franchise4.0,STE,48,12,18.132385359377,53.6091668548205,26.80458342741025
franchise4.0,STE,48,13,21.115416305885766,55.39613908331452,27.69806954165726
franchise4.0,STE,48,14,22.212768290711512,57.18311131180854,28.59155565590427
franchise4.0,STE,48,15,25.012578243037776,58.97008354030256,29.48504177015128
franchise4.0,STE,60,0,20.307492103348054,35.38205012418154,17.69102506209077
franchise4.0,STE,60,1,22.824883183795997,37.34771957552496,18.67385978776248
franchise4.0,STE,60,2,24.5212164693329,39.31338902686838,19.65669451343419
franchise4.0,STE,60,3,27.028959388075283,41.279058478211795,20.639529239105897
franchise4.0,STE,60,4,22.41988329082849,43.24472792955521,21.622363964777605
franchise4.0,STE,60,5,24.8720646538914,45.210397380898634,22.605198690449317
franchise4.0,STE,60,6,26.63455924430618,47.17606683224206,23.58803341612103
franchise4.0,STE,60,7,29.10994202314869,49.141736283585466,24.570868141792733
franchise4.0,STE,60,8,22.37929891463112,51.10740573492889,25.553702867464445
franchise4.0,STE,60,9,24.83468569809098,53.07307518627231,26.536537593136156
franchise4.0,STE,60,10,26.15709053066517,55.03874463761572,27.51937231880786
franchise4.0,STE,60,11,28.184446673303448,57.004414088959145,28.502207044479572
franchise4.0,STE,60,12,19.945623895314704,58.97008354030256,29.48504177015128
franchise4.0,STE,60,13,23.226957936474346,60.935752991645984,30.467876495822992
franchise4.0,STE,60,14,24.434045119782667,62.90142244298941,31.450711221494704
franchise4.0,STE,60,15,27.51383606734156,64.86709189433283,32.433545947166415
franchise4.0,STE,72,0,22.153627749106967,38.59860013547077,19.299300067735384
franchise4.0,STE,72,1,24.899872564141084,40.74296680966359,20.371483404831796
franchise4.0,STE,72,2,26.75041796654498,42.88733348385641,21.443666741928205
franchise4.0,STE,72,3,29.48613751426394,45.031700158049226,22.515850079024613
franchise4.0,STE,72,4,24.458054499085623,47.17606683224204,23.58803341612102
franchise4.0,STE,72,5,27.1331614406088,49.32043350643487,24.660216753217433
franchise4.0,STE,72,6,29.055882811970374,51.46480018062769,25.732400090313845
franchise4.0,STE,72,7,31.75630038888948,53.60916685482051,26.804583427410254
franchise4.0,STE,72,8,24.41378063414304,55.75353352901333,27.876766764506666
franchise4.0,STE,72,9,27.092384397917428,57.897900203206156,28.948950101603078
franchise4.0,STE,72,10,28.535007851634727,60.042266877398966,30.021133438699483
franchise4.0,STE,72,11,30.746669098149212,62.18663355159179,31.093316775795895
franchise4.0,STE,72,12,21.758862431252403,64.3310002257846,32.1655001128923
franchise4.0,STE,72,13,25.33849956706292,66.47536689997743,33.237683449988715
franchise4.0,STE,72,14,26.655321948853818,68.61973357417025,34.30986678708513
franchise4.0,STE,72,15,30.015093891645336,70.76410024836308,35.38205012418154
franchise4.0,MCY,36,0,13.292176649464178,23.159160081282458,11.579580040641229
franchise4.0,MCY,36,1,14.93992353848465,24.445780085798148,12.222890042899074
franchise4.0,MCY,36,2,16.050250779926987,25.732400090313845,12.866200045156923
franchise4.0,MCY,36,3,17.691682508558365,27.01902009482953,13.509510047414764
franchise4.0,MCY,36,4,14.674832699451372,28.305640099345226,14.152820049672613
franchise4.0,MCY,36,5,16.27989686436528,29.592260103860916,14.796130051930458
franchise4.0,MCY,36,6,17.433529687182222,30.878880108376613,15.439440054188307
franchise4.0,MCY,36,7,19.053780233333686,32.1655001128923,16.08275005644615
franchise4.0,MCY,36,8,14.648268380485826,33.452120117408,16.726060058704
franchise4.0,MCY,36,9,16.255430638750454,34.73874012192368,17.36937006096184
franchise4.0,MCY,36,10,17.121004710980834,36.02536012643938,18.01268006321969
